text	label	edu1_idx	edu2_idx	file
spk3: damn internet sharing *shakes fist* [SEP] spk2: damn...	Acknowledgement	19	20	s2-league4-game3_18
spk3: For anything but sheep? [SEP] spk2: wheat?	Q_Elab	7	8	s2-league4-game3_12
spk1: anyone got spare wheat? [SEP] spk3: none here :-(	Question_answer_pair	0	3	s2-league3-game5_15
spk3: anyone need sheep? [SEP] spk1: i do want sheep,	Question_answer_pair	0	6	s2-practice3_11
spk3: Did it [SEP] spk4: can i join	Clarification_question	10	12	s1-league2-game1_27
spk1: could you discard in THIS direction, please? [SEP] spk2: that's a good spot.	Comment	0	2	s2-league5-game2_7
spk1: Yours is showing me 4, [SEP] spk1: but you should have longest road?	Contrast	2	3	s2-practice2_25
spk1: the robber's sitting on my field sadly [SEP] spk1: mine and inca's	Parallel	4	5	s2-leagueM-game3_21
spk2: anyone have clay/wheat for wood/sheep? [SEP] spk4: none here	Question_answer_pair	0	2	s2-practice4_35
spk2: My wheat! [SEP] spk3: I didn't want that wheat anyway	Contrast	13	14	pilot01_9
spk3: thanks, catanstrophe, [SEP] spk3: always helpful.	Comment	13	14	s2-league5-game4_18
spk2: What happens now? Do we play more? [SEP] spk3: So	Q_Elab	27	28	s1-league2-game1_15
spk2: no [SEP] spk2: 1 sheep oe wheat?	Q_Elab	4	5	s1-league1-game2_17
spk2: Every time a 7 gets rolled, [SEP] spk3: You had more than 7 reseources	Explanation	4	6	pilot20_10
spk3: Yeah, [SEP] spk3: I mean if it's actually rolling two dice	Elaboration	25	26	pilot01_9
spk4: well, looks like i'll be seeing you all next season! [SEP] spk2: yep, afraid LJ gets relegated unless there's less demand	Continuation	18	20	s2-leagueM-game5_12
spk1: Let's do the game without Carina on Monday? [SEP] spk3: Isn't that the game on Sunday?	Clarification_question	11	13	s1-league3-game2_13
spk3: ohh, okay. [SEP] spk3: by the way, does anybody want a sheep? 	Narration	3	4	s1-league2-game2_10
spk3: but [SEP] spk3: oh	Correction	8	9	pilot01_9
spk2: I'd like sheep  [SEP] spk2: but no wheat to spare, 	Contrast	3	4	s1-league3-game5_6
spk1: I can give clay or wheat for a sheep? [SEP] spk2: wheat would be good	Question_answer_pair	0	1	s1-league3-game6_7
spk3: the arrow is still on me, [SEP] spk2: can you roll?	Q_Elab	1	3	s2-league4-game1_22
spk1: sorry, [SEP] spk1: none at al	Comment	3	4	s2-leagueM-game2_15
spk3: I mean if it's actually rolling two dice [SEP] spk3: then there are more 8's tha- well, yeha	Conditional	26	27	pilot01_9
spk1: anyone have brick? [SEP] spk1: 2 wood?	Elaboration	0	2	s2-league5-game4_2
spk1: sheep for my wood anyone? [SEP] spk3: ooh ah	Comment	0	1	s2-practice4_38
spk1: I've got things to do while we wait [SEP] spk1: so I don't really mind.	Result	1	2	s2-league8-game1_2
spk4: hopefully! [SEP] spk4: would make a change	Elaboration	4	5	s2-league1-game1_20
spk2: Don't want ore. [SEP] spk2: Rennoc what can you offer me for wood?	Continuation	2	3	pilot01_40
spk4: (I would, [SEP] spk4: but I have nothing...)	Elaboration	6	7	s1-league2-game2_7
spk3: Only chose you [SEP] spk3: and yeah,	Continuation	5	7	pilot01_18
spk1: nobody else here yet? [SEP] spk4: hey	Acknowledgement	4	5	s2-leagueM-game2_5
spk2: any chance of a wood? [SEP] spk3: na	Question_answer_pair	6	7	s2-league4-game1_9
spk1: i would to [SEP] spk4: lol.	Comment	10	12	s2-league5-game3_25
spk2:  Anyone got wood? [SEP] spk1: lol	Comment	1	3	pilot03_15
spk1: here [SEP] spk1: i can do it	Elaboration	1	2	s2-league5-game1_7
spk2: and I've only got 1, [SEP] spk2: sorry.	Comment	12	13	pilot01_31
spk2: If a 7 doesn't come up, it will be ... [SEP] spk4: anyone have clay?	Continuation	0	2	s2-league1-game1_6
spk2: fair enough [SEP] spk4: good game all	Comment	13	14	s2-practice4_15
spk3: anyone have wheat or wood? [SEP] spk2: no	Question_answer_pair	0	2	s1-league1-game2_6
spk2: gg all [SEP] spk2: got a run of VP cards	Elaboration	0	1	s2-leagueM-game5_12
spk1: CCG so wealthy! [SEP] spk1: kerching	Elaboration	0	1	s2-league1-game1_18
spk2: nope [SEP] spk2: http://www.catan.com/en/download/?SoC_rv_Rules_091907.pdf	Explanation	3	20	s2-leagueM-game3_14
spk1: anyone have wood? [SEP] spk2: I have wood	Question_answer_pair	0	3	s1-league3-game2_5
spk2: Guessing [SEP] spk2: noone has clay?	Continuation	17	18	pilot03_19
spk2: anyone have clay for wood/sheep? [SEP] spk1: there seems to be a glut of wood/sheep	Comment	4	8	s2-practice4_33
spk3: some resources would be lovely... [SEP] spk2: ok then, thanks :)	Acknowledgement	1	4	s1-league1-game5_2
spk1: not [SEP] spk3: yeah i feel rescheduling is probabyl a better idea	Comment	8	15	s2-league1-game1_19
spk2: anyone want to trade wheat or sheep for a clay?  [SEP] spk2: I need clay	Explanation	0	1	s1-league1-game3_10
spk2: any wheat now? [SEP] spk2: lj?	Q_Elab	0	5	s2-leagueM-game3_2
spk2: nope [SEP] spk1: ok	Acknowledgement	2	3	pilot14_2
spk1: see you :) [SEP] spk3: bye!	Continuation	25	26	s2-leagueM-game3_1
spk3: ore? [SEP] spk1: nope	Question_answer_pair	3	4	pilot03_23
spk2: yer.. [SEP] spk2: nothing happened here	Background	3	5	s2-league4-game1_1
spk3: uuuh [SEP] spk3: rennoc?	Q_Elab	9	16	pilot01_18
spk2: lovely [SEP] spk2: thank yuo	Comment	5	6	pilot04_26
spk3: weird? [SEP] spk3: I'll try again...	Result	11	12	s2-league4-game1_27
spk4: My office is Informatics Forum 3.24. [SEP] spk4: I'll be there tomorrow morning, but not the reest of the week.	Elaboration	63	66	pilot21_15
spk3: i didnt see [SEP] spk1: yup	Acknowledgement	10	13	pilot03_11
spk4: yeah [SEP] spk2: Oh well...	Acknowledgement	32	34	pilot03_25
spk4: eh? [SEP] spk2: Every time a 7 gets rolled,	Question_answer_pair	0	4	pilot20_10
spk3: sorry [SEP] spk3: Seemed like most important resource	Explanation	28	29	s2-league5-game4_9
spk2: 1 for 1? [SEP] spk1: sure thing	Question_answer_pair	8	9	s2-league1-game1_13
spk1: hmm [SEP] spk1: hang on let me think	Elaboration	0	1	pilot14_8
spk1: anyone have clay? [SEP] spk3: no	Question_answer_pair	0	2	s1-league3-game7_4
spk2: how many rolls, 30? [SEP] spk1: okey doke	Question_answer_pair	7	8	s2-leagueM-game5_5
spk4: How do I direct it to a specific person? [SEP] spk2: you shuold see coloured boxes	Question_answer_pair	7	8	pilot20_4
spk2: we haven't had to type time yet or whatever it is that extends the time [SEP] spk1: woops	Comment	0	2	s2-league4-game3_16
spk3: not sure i can do it tomorrow...  [SEP] spk3: well, maybe in the afternoon	Contrast	19	20	s1-league2-game2_5
spk1: nope [SEP] spk3: Sorry,	Comment	2	3	s2-practice3_26
spk3: when would be a good time for you guys to play the real one? [SEP] spk1: Monday evening?	Q_Elab	6	7	s1-league3-game2_13
spk1: something ewird happened [SEP] spk2: first time I'm trading with this client	Explanation	13	19	s2-league5-game2_8
spk2: want to trade? [SEP] spk1: If you get any clay,	Question_answer_pair	2	5	s2-practice2_10
spk4: lol. [SEP] spk4: yeah your 2 for 1 is key.	Elaboration	12	13	s2-league5-game3_25
spk1: for wood or sheep? [SEP] spk3: I have nothing at the moment :P	Question_answer_pair	5	6	s1-league2-game3_4
spk3: oh come on [SEP] spk4: ok	Acknowledgement	4	5	pilot03_6
spk1: damn [SEP] spk1: those were some awesome spots	Comment	9	10	s2-league5-game3_21
spk1: I don't,  [SEP] spk1: sorry	Comment	10	11	s1-league3-game1_17
spk2: ah, [SEP] spk2: ok	Continuation	3	4	s2-practice2_12
spk1: I have one I can trade [SEP] spk2: what do ypu want?	Q_Elab	9	10	s2-league5-game4_3
spk2: sorry, that doesn't get me anywhere [SEP] spk2: apologies :(	Comment	13	14	s1-league1-game5_10
spk1: i'm pretty short on everything right now [SEP] spk1: luckily for everyone else	Comment	6	8	s2-leagueM-game3_22
spk1: nothing short of a miracle will result in me owning ore [SEP] spk1: or anything by the looks of this robber	Alternation	3	5	s2-league4-game3_21
spk1: sorry i have wheat, [SEP] spk1: if someone is rich in it?	Elaboration	27	31	pilot03_13
spk2: anyone have clay/wheat for wood/sheep? [SEP] spk3: sorry	Question_answer_pair	0	1	s2-practice4_34
spk2: can anyone else see it? [SEP] spk3: yup	Question_answer_pair	39	40	s2-league4-game1_4
spk2: no [SEP] spk2: sorry	Comment	1	2	s2-league4-game3_2
spk4: I think the game's stuck [SEP] spk3: OK,	Acknowledgement	36	37	pilot20_13
spk1: can i get sheep or ore from someone for wheat? [SEP] spk3: no	Question_answer_pair	0	2	s1-league1-game2_22
spk3: Make it two? [SEP] spk1: :D	Comment	5	8	s1-league2-game4_17
spk2: sorry can't help [SEP] spk3: I guess the robbers ensured a clay shortage	Explanation	3	6	s2-league4-game1_2
spk1: I'd need 2 wheat, [SEP] spk2: that does not work for me sry	Question_answer_pair	7	9	s1-league1-game4_5
spk3: anyone want wood? [SEP] spk1: i have 2, ta :)	Question_answer_pair	1	2	s1-league1-game4_19
spk2: gg [SEP] spk1: i need practice!	Comment	0	1	s2-league8-game1_1
spk1: this is not a board to go last in [SEP] spk3: crap,	Acknowledgement	1	5	s2-league5-game4_9
spk4: then pick me, katherine, [SEP] spk4: pick meee!	Continuation	29	30	pilot21_2
spk2: if we don't hear from them over the weekend [SEP] spk2: so we can get some games on next week maybe	Result	36	38	s1-league1-game3_32
spk2: Nope [SEP] spk1: clay and ore?	Q_Elab	9	11	s1-league2-game4_3
spk1: don't suppose anyone has any clay to trade,  [SEP] spk2: need mine, sorry	Question_answer_pair	0	2	s1-league3-game1_10
spk2: would you trade another sheep for another wood? [SEP] spk3: no	Question_answer_pair	33	34	pilot21_7
spk3: none [SEP] spk1: ok	Acknowledgement	3	4	s1-league1-game5_24
spk1: aha so there wasn't a soldier among them ;) [SEP] spk1: i haven't been paying attention...	Explanation	3	4	s2-leagueM-game5_5
spk2: trade? [SEP] spk1: I'll give you a wood for 2 ore?	Q_Elab	0	2	s2-practice2_20
spk4: Uhm, there should be 4 in total, I think. [SEP] spk4: Can you wait for a few more minutes?	Clarification_question	6	7	pilot21_19
spk2: no [SEP] spk2: sorry	Comment	1	2	s2-practice4_3
spk2: wow [SEP] spk1: yeah.	Acknowledgement	1	3	s2-league5-game5_5
spk2: is the game on tonight? [SEP] spk3: yes it is,	Question_answer_pair	2	3	s1-league1-game2_24
spk2: Amazingly, no o.O [SEP] spk3: craziness	Comment	13	15	pilot03_25
spk3: please not 7 [SEP] spk2: wheat for clay?	Continuation	0	1	s1-league1-game2_11
spk2: Hehe, it was fun, thanks. [SEP] spk2: I think I got very lucky getting to the sheep port	Elaboration	6	7	pilot01_22
spk1: dmm has died [SEP] spk4: oh dear	Comment	13	14	s2-leagueM-game3_15
spk5: Oh! OK, [SEP] spk5: never mind...	Continuation	0	1	s1-league2-game2_22
spk1: Nice playing :) [SEP] spk3: and you all :D	Continuation	9	10	pilot03_3
spk2: dmm came in the game at 10 [SEP] spk2: they probs can	Result	22	23	s1-league2-game3_16
spk3: Sorry about that [SEP] spk3: Had trouble getting the client to start	Elaboration	8	9	s1-league2-game1_13
spk2: Well, [SEP] spk2: maybe not the UN.	Elaboration	17	18	pilot03_23
spk2: for what, william? [SEP] spk1: anything really.	Question_answer_pair	45	46	s1-league1-game3_8
spk3: How about a clay? [SEP] spk2: nope	Question_answer_pair	4	5	s1-league2-game3_17
spk2: a resounding no then [SEP] spk4: (i would do your sheep for wood,	Contrast	4	6	s2-practice4_36
spk2: no tinky pictures? [SEP] spk1: I have to look for it.	Question_answer_pair	6	7	s2-league4-game1_17
spk1: LJ said yeah first [SEP] spk3: yeah	Acknowledgement	13	14	s2-league1-game1_26
spk3: man [SEP] spk3: cardlinger has a megafactory over in that corner	Elaboration	3	4	pilot03_17
spk1: wheat [SEP] spk2: sure	Acknowledgement	2	4	s1-league2-game2_19
spk1: or ore? [SEP] spk3: fing robber	Question_answer_pair	9	10	s2-league5-game2_2
spk1: We must all have like the same resources [SEP] spk2: Yeah,	Acknowledgement	3	4	pilot20_3
spk3: we can swap ;) [SEP] spk3: I'll be orange for the night	Continuation	10	11	s2-leagueM-game2_5
spk1: so dave, what did you have to trade for clay? [SEP] spk2: I covert rennoc's clay.	Contrast	0	1	pilot01_25
spk2: I will no longer trade clay [SEP] spk1: oh.	Acknowledgement	1	3	s2-practice4_26
spk3: I don't know, [SEP] spk3: quick email around?	Result	17	18	s1-league2-game3_16
spk2: c'est pas vrai [SEP] spk1: to trade ;)	Correction	20	21	s1-league1-game1_2
spk2: Trade you an ore for a clay? [SEP] spk1: will you trade for wood?	Q_Elab	2	3	s1-league2-game3_13
spk1: i got to go though [SEP] spk1: does that mean i don't get money	Clarification_question	31	36	pilot21_15
spk1: this ore looks familiar... [SEP] spk3: maybe...	Comment	7	8	s2-league3-game5_12
spk2: iv never done it [SEP] spk2: :)	Comment	60	61	s1-league2-game3_16
spk3: i can give you a sheep and a wheat  [SEP] spk2: you just got upsold	Result	20	24	s1-league1-game1_15
spk1: no clay :( [SEP] spk3: no clay :/	Parallel	2	3	pilot03_29
spk1: anyone got wood? [SEP] spk1: ore for a wood, tomas?	Q_Elab	0	2	s1-league1-game4_8
spk2: Rennoc... I have sheep now? [SEP] spk2: Got any wheat? :P	Q_Elab	2	3	pilot01_5
spk1: can you hold on a little longer :P [SEP] spk4: I will need to be gone about 1815	Question_answer_pair	18	23	s2-leagueM-game5_18
spk1: gg [SEP] spk3: see you next time	Comment	8	9	s2-practice3_16
spk2: longest road i think only from 5 roads or longer [SEP] spk2: as far as i remember the rules	Background	7	8	s2-practice2_24
spk3: Hmmmm, right, wonder if we can get another game done tonight? [SEP] spk2: im up for one	Question_answer_pair	12	15	s1-league2-game3_16
spk4: sure [SEP] spk2: sorry dmm	Comment	10	11	s2-leagueM-game3_18
spk1: E? [SEP] spk2: Not just now	Question_answer_pair	6	7	pilot03_1
spk1: i think i'd rather hang on to my wheat i'm afraid [SEP] spk3: kk I'll take my chances then...	Acknowledgement	8	9	s2-leagueM-game2_6
spk1: got clay or wood? [SEP] spk2: I have clay	Question_answer_pair	2	3	s1-league3-game5_7
spk3: ash? [SEP] spk1: sorry	Question_answer_pair	6	7	pilot14_27
spk1: anyone got ore or wheat? [SEP] spk3: no	Question_answer_pair	0	2	s1-league3-game7_1
spk1: clay/ore for wood? [SEP] spk3: yeah..	Question_answer_pair	3	4	s1-league2-game1_2
spk2: who is on clay tiles, [SEP] spk2: so I can't offer clay,	Result	8	9	pilot04_11
spk2: anyone want a sheep..? [SEP] spk3: no	Question_answer_pair	0	2	s2-league4-game1_25
spk4: Thanks for everything [SEP] spk4: See you!	Continuation	87	88	pilot20_13
spk2: What does that do? [SEP] spk1: i can choose 2 resources of my choice	Question_answer_pair	0	1	pilot21_17
spk2: from me [SEP] spk2: I lost it	Elaboration	5	6	s2-league5-game4_21
spk3: anyone need sheep? [SEP] spk2: no	Question_answer_pair	0	3	s2-practice3_11
spk1: anyone have wheat   [SEP] spk3: i need wood 	Question_answer_pair	0	2	s1-league3-game5_3
spk1: 0 clay [SEP] spk2: Plan B it is.	Acknowledgement	21	22	pilot03_19
spk3: brb [SEP] spk1: ok	Acknowledgement	9	10	s1-league1-game2_24
spk2: sure [SEP] spk3: Awesome, thanks to both of you	Acknowledgement	24	29	s1-league2-game1_33
spk2: anyone want wheat?  I'd like a sheep [SEP] spk3: sure	Question_answer_pair	9	10	s1-league1-game5_14
spk2: need to protect my longest road/imminent victory [SEP] spk1: ok	Acknowledgement	4	5	s2-practice4_27
spk1: can i get someone's clay? [SEP] spk3: i has none	Question_answer_pair	7	9	s1-league1-game2_21
spk1: oh wood shud b good [SEP] spk2: wheat in return?	Q_Elab	5	6	pilot20_12
spk1: how do we add time? [SEP] spk1: add time	Continuation	1	2	s2-league5-game4_13
spk2: anyone want sheep... [SEP] spk2: I've got a yard full	Elaboration	0	1	s2-league4-game1_26
spk1: no, [SEP] spk1: I have only 1 of 1	Elaboration	4	5	s2-league5-game2_3
spk2: anyone got wheat to trade? [SEP] spk3: nope	Question_answer_pair	0	1	s1-league1-game5_3
spk1: You too! [SEP] spk1: Is it stuck?	Clarification_question	1	2	pilot20_6
spk3: anyone have one wheat? [SEP] spk2: no	Question_answer_pair	18	19	s1-league1-game2_13
spk2: if you're wondering [SEP] spk3: that's so awesome.	Comment	1	2	s2-league5-game4_30
spk1: Got no wood.. [SEP] spk3: :-)	Acknowledgement	6	7	s2-league4-game1_14
spk4: i have none [SEP] spk3: ok then 2 ore	Result	11	12	s1-league1-game3_26
spk1: have just the one [SEP] spk2: i have one as well	Parallel	4	15	s2-leagueM-game3_23
spk4: the only place worth robbering gramos was 11 [SEP] spk4: and that doesn't come up enough..	Explanation	0	1	s2-league5-game3_25
spk3: nicee [SEP] spk2: my dice rolls SUCK	Comment	1	2	pilot14_4
spk2: 9 victory points! [SEP] spk1: as if I could finish it!	Comment	14	15	s1-league2-game3_11
spk2: want to swap one of those wheat? [SEP] spk3: for?	Q_Elab	1	2	s2-practice4_16
spk4: nope [SEP] spk4: and nor will any of us for some time...	Continuation	14	16	s2-leagueM-game2_6
spk2: ha [SEP] spk3: public enemy number 1 now..	Comment	7	8	s2-league4-game1_30
spk2: and i will let william in. bye! [SEP] spk1: bye Tomas!	Acknowledgement	15	17	s1-league1-game4_28
spk1: any one have sheep? [SEP] spk2: I've not had sheep for ages.	Explanation	13	15	pilot01_2
spk2: ok, [SEP] spk1: Thank you.	Acknowledgement	1	3	s2-practice2_6
spk4: sorry, not interested [SEP] spk2: So no-one wants to trade?	Result	43	49	pilot21_2
spk2: You need it [SEP] spk1: thnx	Acknowledgement	4	6	pilot20_22
spk1: but i'd then need to spend it on the clay lol [SEP] spk2: ok 3 wheat!	Q_Elab	4	5	s1-league1-game4_29
spk4: sure a sheep works [SEP] spk1: ok laura	Acknowledgement	12	13	s1-league1-game3_24
spk3: Clay.. [SEP] spk3: Need wood though	Contrast	8	10	s2-league4-game1_29
spk1: anyone got wood? [SEP] spk1: I have sheep and wheat	Elaboration	0	2	s1-league3-game5_1
spk2: Huh? [SEP] spk1: your turn still!	Question_answer_pair	2	3	s1-league2-game4_10
spk1: can you trade clay lj? [SEP] spk1: 2 wood?	Q_Elab	0	3	s1-league1-game2_17
spk2: does anyone have wood they can spare [SEP] spk4: yes	Question_answer_pair	0	2	s2-league5-game4_16
spk2: Well, I might do, [SEP] spk2: but depends on my roll, I'm afraid	Contrast	10	11	pilot01_7
spk4: year of plenty [SEP] spk3: so sorry for wasting yoru time with that!	Acknowledgement	20	25	s2-league5-game4_18
spk2: thought you were being kind! [SEP] spk1: Indeed.  :P	Acknowledgement	2	3	s1-league3-game2_8
spk4: no [SEP] spk4: sorry.	Comment	5	6	s2-league5-game2_1
spk1: i don't have 2, sorry, [SEP] spk2: then i cannot make you a deal	Result	6	9	s1-league1-game4_8
spk3: Actually, [SEP] spk1: lol	Comment	15	17	pilot21_21
spk1: LJ is that like the 4th 7? [SEP] spk3: again :p	Question_answer_pair	1	2	s1-league1-game4_2
spk3: quick email around? [SEP] spk1: okay,	Question_answer_pair	18	19	s1-league2-game3_16
spk2: for a sheep [SEP] spk2: can only offer a sheep	Elaboration	3	5	s1-league1-game2_15
spk4: yep [SEP] spk2: i hav only played this one	Contrast	11	12	s1-league2-game2_5
spk3: ok [SEP] spk3: ive ticked it	Elaboration	53	54	pilot20_9
spk2: I kinda need it [SEP] spk2: Wait	Continuation	19	20	s1-league2-game3_7
spk3: Sorry, [SEP] spk3: wrong player	Explanation	3	4	s2-practice3_26
spk1: i guess so [SEP] spk2: i won 2	Correction	9	10	s1-league1-game5_25
spk3: Ok, [SEP] spk3: 1 brick for 1 sheep	Result	14	15	s2-league5-game2_16
spk1: okay, can anyone give me clay? [SEP] spk2: for what	Clarification_question	8	10	s1-league2-game1_17
spk2: So...anyone got clay? [SEP] spk2: Guessing	Clarification_question	0	17	pilot03_19
spk2: Rennoc what can you offer me for wood? [SEP] spk2: Dave... wood for a wheat?	Continuation	3	12	pilot01_40
spk1: for? [SEP] spk2: wood?	Question_answer_pair	1	2	s2-league4-game3_13
spk4: I could still use wheat in return for sheep. [SEP] spk1: got no use for sheep now :)	Question_answer_pair	0	2	s2-practice4_4
spk2: any clay this time? [SEP] spk1: still none	Question_answer_pair	0	3	s2-leagueM-game2_3
spk3: Clay for wheat, anyone? [SEP] spk1: yep	Question_answer_pair	0	1	pilot04_22
spk1: skinny, give me clay for ore? [SEP] spk1: please?	Continuation	17	18	s1-league2-game1_17
spk1: ill try [SEP] spk4: ok	Acknowledgement	33	35	pilot21_2
spk2: for wheat? [SEP] spk1: sounds good	Acknowledgement	2	3	s2-practice4_21
spk4: i'll trade for brick [SEP] spk2: which person?	Q_Elab	6	9	s2-league5-game2_27
spk4: no [SEP] spk4: sorry	Comment	10	11	s2-league5-game2_1
spk2: I'm already gonna miss the movie start :D [SEP] spk1: which movie?	Clarification_question	3	5	s1-league1-game3_1
spk2: likewise [SEP] spk1: then i'll let you know you can rob me	Result	5	6	s2-leagueM-game5_11
spk1: no wait, [SEP] spk1: other way around	Elaboration	7	8	pilot21_20
spk1: boob [SEP] spk1: (sorry that was my friend)	Explanation	3	4	pilot21_1
spk1: it would be aweome [SEP] spk1: if i got to use it a lot :)	Conditional	15	16	s2-league5-game3_25
spk1: i'm after wheat, [SEP] spk1: i am afraid	Comment	14	15	pilot03_18
spk1: i hav wood [SEP] spk4: Cool	Acknowledgement	3	5	pilot20_23
spk1: no can do, [SEP] spk1: sorry	Comment	2	3	s2-practice3_13
spk2: does anyone have clay or wood [SEP] spk1: i have clay,	Question_answer_pair	0	1	s1-league3-game1_15
spk1: that robber is eating all my wheat [SEP] spk2: He's a hungry robber	Comment	5	6	pilot03_22
spk3: just wanted to watch the exciting finale [SEP] spk4: kibitz away :D	Continuation	28	33	s2-leagueM-game5_18
spk4: well done [SEP] spk2: ta guys	Acknowledgement	5	6	s2-leagueM-game5_12
spk2: raef gets 4 ore! [SEP] spk2: woo-hoo!	Comment	1	2	s2-league5-game2_28
spk4: i assume no one has clay that they'll trade? [SEP] spk2: dont have any	Question_answer_pair	0	1	s2-practice4_28
spk1: anyone got sheep or ore for a wheat? [SEP] spk2: no	Question_answer_pair	0	3	s2-league1-game1_15
spk1: E/J? [SEP] spk2: got nothing	Question_answer_pair	5	6	pilot03_13
spk3: clay for ore? [SEP] spk2: as in you'll give ore for clay?	Clarification_question	10	13	s2-league4-game1_13
spk3: np :) [SEP] spk2: :-)	Comment	15	16	s2-league4-game3_28
spk2: me too :D [SEP] spk2: if you want some :)	Continuation	3	6	s1-league1-game4_5
spk2: anyone have any spare wood? [SEP] spk2: can give sheep or ore	Elaboration	0	1	s2-leagueM-game2_18
spk3: if he gets wheat [SEP] spk2: Sadly, the man does have a point.	Acknowledgement	6	9	pilot01_2
spk2: got the wrong guy! [SEP] spk2: william is white	Explanation	7	8	s1-league1-game3_30
spk2: Woo! Settlement! [SEP] spk3: good game	Acknowledgement	3	5	pilot01_22
spk2: how do you trade with the bank? [SEP] spk2: got it	Narration	10	11	s2-practice4_32
spk4: anyone have clay or ore? [SEP] spk2: i have ore	Question_answer_pair	0	2	s2-practice3_9
spk2: still have no ore [SEP] spk1: very well	Acknowledgement	5	6	s2-leagueM-game5_3
spk2: y? [SEP] spk3: No way of getting clay!	Explanation	8	9	s1-league2-game3_5
spk2: ghettoette - i can give wood for brick [SEP] spk3: i have wood to offer	Parallel	0	1	s2-league5-game4_7
spk4: Anyone willing to give ore or clay for wheat? [SEP] spk3: nope	Question_answer_pair	0	3	pilot20_2
spk3: anyone got clay? [SEP] spk2: sorry	Question_answer_pair	5	10	s2-practice4_31
spk1: grain [SEP] spk2: ok	Acknowledgement	7	8	s2-league5-game3_26
spk2: no [SEP] spk2: sorry	Comment	2	3	s2-league3-game1_7
spk2: i have sheep, [SEP] spk2: what are you offering?	Q_Elab	4	5	s2-league1-game1_11
spk1: clay from someone? [SEP] spk3: sry i only have a sheep	Question_answer_pair	0	2	s1-league1-game1_25
spk2: got sheep by any chance? [SEP] spk1: sorry,	Question_answer_pair	0	2	s1-league3-game6_11
spk3: if hes not here [SEP] spk3: we do a 3 person game	Conditional	7	8	s1-league1-game2_24
spk4: wassuup [SEP] spk1: hey	Acknowledgement	12	13	s2-leagueM-game5_18
spk2: Hm, how are you two for time? [SEP] spk2: Can we wait a bit longer?	Clarification_question	35	36	pilot01_30
spk4: its better than some of them.... :p [SEP] spk1: lol	Comment	10	11	s2-league1-game1_2
spk1: ...nope [SEP] spk1: Anyone got any ore?	Result	9	10	pilot03_5
spk2: I had the pleasure editing the source code of this application. [SEP] spk3: Ah. Fun I take it?	Clarification_question	24	25	pilot01_30
spk1: thanks, good game indeed [SEP] spk2: enjoy the spoils of victory	Result	5	6	s2-league3-game5_2
